Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Navigating Organizational Politics as a Senior Leader,"<p>Navigating organizational politics may seem like a distraction from your job, but if you’re in a senior leadership position, politics largely <em>is</em> your job. In this course, organizational politics expert Niven Postma teaches you how to successfully navigate organizational politics at the senior leadership level. You'll learn about the 6Ps of political intelligence, how to make decisions about political trade-offs, deliver performance outcomes to increase your political capital, prioritize and nurture strategic partnership, and boost social influence to get things done. Plus, Niven details the role reputation plays in developing political capital, and explains how you should choose your political battles. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-senior-manager-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning. </p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations. </p>",Course,2025-08-16 12:44 UTC,N/A,false,N/A,
Hands-On Advanced Python: Data Engineering Basics,"Looking to get up to speed with advanced coding skills in Python? This course was made for you. Join instructor Joe Marini in this hands-on, interactive, skills-first coding course designed for advanced-level Python developers. Explore critical Python coding skills to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Joe helps you develop your skills as a Python programmer with five specific, data-focused coding challenges. Practice parsing and exploring data, working with collections, math and statistics, and more.",Course,2024-07-27 02:44 UTC,N/A,false,N/A,
Data Resilience with Spring and RabbitMQ Event Streaming,"RabbitMQ is a widely deployed messaging solution and Spring is a popular framework for building modern Java applications. In this course, Gregory Green explains how Spring and RabbitMQ can be used to build a resilient data architecture for critical applications. Learn about RabbitMQ features such as quorum queues, streams, and multi-site replication. Gregory also reviews Spring projects like Spring Cloud and AMQP that simplify building production-ready applications. Plus, learn how Kubernetes improves resiliency for Spring applications and RabbitMQ.",Course,2025-01-15 01:44 UTC,N/A,false,N/A,
Generative Voice AI: Text-to-Speech and Voice Cloning Tools,"This course showcases exciting AI tools using text-to-speech, voice conversion, and voice cloning technologies. Explore tools like Murf AI, ElevenLabs, and Descript’s Regenerate and Overdub tools. We’ll also explore the background, applications, ethics, and legal considerations of this type of generative AI technology.",Course,2025-10-14 12:34 UTC,N/A,false,N/A,
Mixed Signals: How Incentives Really Work (Book Bite),"<p>How do you get people to do what you want them to do? In this audiobook summary, Uri Gneezy, professor of economics at the University of California San Diego, shares five key insights from his book, <i>Mixed Signals: How Incentives Really Work</i>. Uri teaches you how incentives send signals—illustrated by a trip to Disney World. Learn how to use the “pay to quit” strategy to learn which employees are fully committed, the difference between social signaling and self-signaling, and how a “pay what you want” model sends a unique signal that can benefit everyone.
 </p><p>
 
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-10-12 15:45 UTC,2025-10-12 15:45 UTC,false,N/A,
Designing for Developers,"Working in design is not a solo job. While you may come up with ideas and designs on your own, someone—usually a team of someones—has to make your vision a reality. 
And more likely than not, that’s the developers. In this course, Joseph Labrecque
teaches you how to get into the mindset of a developer so you can appropriately design experiences that can be built and delivered by your technical teammates. He shows why it’s important to establish a dialogue with the developers on your team, ways to understand and prepare for the technical platforms your developers use, how to leverage developer input in your design process, ways to organize your deliverables for easy developer consumption, and, importantly, suggestions on letting go of your designs and allowing your implementation team to shine. Join Joseph in this course to better understand your responsibilities to the development team members you will work with on modern digital design projects.",Course,2025-04-18 02:52 UTC,N/A,false,N/A,
Unboxing AI: Build a Remote MCP Server from Zero to Deployed with OAuth,"MCP, the Model Context Protocol, enables you to connect pretty much anything to AI. In this livestream series-turned-course, LinkedIn Principal Instructor Morten Rand-Hendriksen unboxes MCP. You’ll learn what MCP is and why it matters. Then get hands on and learn how to build MCP servers from scratch, use cutting edge features like elicitation and sampling, manage security and authorization, and deploy remote MCP servers for easier access and use.",Course,2025-10-10 23:41 UTC,N/A,false,N/A,
Copilot in Teams: AI-Powered Collaboration,"<p>The Copilot add-on in Teams lets you use several Artificial Intelligence features to level up your productivity. Join instructor Nick Brazzi as he shows how to get summaries or answers about chat conversations. Copilot can also help you find information about meetings. So, if you’re late to a meeting, Copilot can get you caught up. This course will also show how to use the Microsoft 365 chat assistant to get answers about your schedule, your documents, and other information from your organization.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/microsoft-copilot-for-productivity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-05-31 22:14 UTC,N/A,false,N/A,
Learning Azure Durable Functions,"<p>If you’re already familiar with Azure Functions, you may be curious to learn more about Durable Functions. As an extension of Azure Functions, Durable Functions excel at long-running, stateful workflows that need to be done in a serverless computing environment. This is especially true when you need to define such a stateful workflow, as the Durable Functions extension manages a lot behind the scenes for you, allowing you to focus more intently on the code.</p><p>In this course, instructor Adrienne Tacke gives you an overview of what Durable Functions are, how they differ from Azure Functions, when to use Durable Functions, and common patterns and situations suitable for using Durable Functions like a pro. Get a breakdown of how Durable Functions work by exploring several real-world use cases of Durable Function patterns in actions, including function chaining, fan-out/fan-in, async HTTP APIs, monitors, human interactions, aggregators, and more.</p>",Course,2024-12-25 01:17 UTC,N/A,false,N/A,
Introduction to Agentic AI: Getting Started with AutoGen Studio,"Are you ready to get up and running with AutoGen Studio? This is a practical, hands-on course designed to help you dive into the world of AI agents and agentic AI. Join instructor Jose Luis Latorre as he introduces the essential concepts of AutoGen and guides you through setting up and using AutoGen Studio to build and configure intelligent AI agents, design agentic workflows, and equip your agents with powerful tools and skills. Gain practical skills and unlock the potential of multiagent AI systems effortlessly. Whether you're a developer, AI enthusiast, or tech entrepreneur, this course is ideal to equip you with a solid foundation for creating multiagent systems using a flexible and rapid prototyping framework.",Course,2025-09-23 01:03 UTC,N/A,false,N/A,
What You Need to Know About Crafting a Stand-out Resume,"<p>Are you tired of submitting resumes that never seem to get noticed? In this episode of the podcast <i>Get Hired</i>, Ana Lokotkova, a seasoned resume writer and career advisor, sits down to share insights and practical strategies to help you stand out from the competition.</p><p>Drawing from her many years of professional experience, Ana outlines a handful of insider tips and tricks for crafting a compelling resume that gets you noticed, and gets you hired. From debunking common myths to offering real-world examples, this episode is packed with approachable, easy-to-use advice to help you land the job of your dreams. So sit back, relax, and get ready to take your resume—and your career—to the next level!</p>",Course,2025-02-28 00:15 UTC,N/A,false,N/A,
AIOps Foundations: Automating IT Operations using AI,"Amid the ever-evolving IT landscape, organizations strive for operational efficiency and peak performance. However, managing intricate IT ecosystems can present challenges in maintaining uptime, resolving issues promptly, and optimizing processes. Enter AIOps, a game-changing solution poised to reshape IT management practices and set new benchmarks. In this course, management consultant Priya Mohan guides you through a comprehensive exploration of AIOps, covering topics such as data collection, anomaly detection, predictive maintenance, and strategic implementation. Dive into the transformative advantages of implementing AIOps, including substantial savings as you curb downtime, enhance resource allocation, empower your teams to shift from reactive firefighting to strategic planning, and enable accurate forecasting. By the end of the course, you will confidently deploy AI-powered solutions to optimize IT operations, reduce downtime, and enhance overall performance.",Course,2025-09-10 01:33 UTC,N/A,false,N/A,
Working More Effectively with Different Personalities,"<p>Understanding personality differences is a powerful method toward becoming more successful. By recognizing how your personality impacts your behavior, you can gain deeper insight into how you collaborate and communicate with others. In this course, Dr. Eric Zackrison teaches the concepts of how personalities can be identified so that you can be more effective in your life and your work. He shares methods for how you can better comprehend the key aspects of your personality and how these influence how you operate in various work environments. Eric then shares strategies to better recognize personality differences amongst others, the impact this can have on your relationships, and how you can use tools to better work amongst all personality styles. After watching this course, you’ll be better positioned to navigate conflicts, solicit and give feedback, and collaborate with others while being mindful of the personalities of others.</p>
 
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>

<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" />",Course,2023-04-07 14:53 UTC,N/A,false,N/A,
JavaScript: Classes (2018),"The release of ECMAScript 2015 brought class syntax to JavaScript, providing developers used to class inheritance with some familiar tools. If you're new to the language—or just unsure how classes work in ECMAScript 6 (ES6)—then this course is for you. Join instructor Emmanuel Henri as he explains how classes work in ES6. He starts with the foundations of classes and how they interact with other JavaScript features. He then goes over constructors, mixins, and extends, explaining how they work and sharing code examples.",Course,2020-05-12 20:31 UTC,N/A,false,N/A,
Tips for More Inclusive Language,"In this course, DEI educator and activist Cory Wade presents quick, practical strategies to communicate with inclusive language at work. Learn how to adapt with agility in your communication as language itself continues to evolve. Explore strategies to communicate in ways that help your colleagues to feel respected and appreciated. Get tips to communicate in a way that helps you to connect with colleagues. Learn strategies to communicate effectively when addressing diverse audiences, as well as ways to consider and communicate thoughtfully about age, gender, and socioeconomic class. Plus, dive into ways to note your own assumptions when communicating, communicate inclusively in digital contexts, and address missteps with thoughtfulness.",Course,2025-04-20 20:58 UTC,N/A,false,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2025-09-01 11:13 UTC,N/A,false,N/A,
"Custom WordPress Plugins: Design, Develop, and Distribute","This course is designed to take you from a casual WordPress user to a capable plugin developer, guiding you through the creation of three distinct types of plugins: a custom post type plugin, a simple contact form plugin, and a basic social media sharing plugin. Through hands-on, step-by-step instruction, learn vital skills like registering custom post types, handling form submissions securely, and integrating popular social media sites. Take this course to not only create and customize your own plugins but also understand how to prepare them for submission to the WordPress Plugin Directory, empowering you to enhance WordPress sites with unique, functional tools–and possibly start your own plugin business.",Course,2025-01-19 13:35 UTC,N/A,false,N/A,
Time Series Analysis and Forecasting with GPT-4o,"<p>One of the highlights of this course is that no coding is required. Now, you can communicate with GPT-4o using human language to analyze, forecast, and visualize time series data. Start with the essentials of what can be forecasted and dive deep into the components of time series data like trends, seasonality, cycles, and noise. Learn to decompose data using additive, multiplicative, and STL methods.</p><p>Discover how to analyze time series with autocorrelation and partial autocorrelation plots, assess stationarity using the ADF test, and transform non-stationary data. Advance to predictive modeling with ARIMA and exponential smoothing models, mastering hyperparameter tuning and model selection. By the end of this course, you’ll be equipped to predict tomorrow and prepare for the future with confidence.</p>",Course,2025-09-03 10:51 UTC,N/A,false,N/A,
A Modern Guide to Strategy Implementation,"Successful leaders need to know how to define and choose the right strategies for their organizations. But they also need to be able to implement them successfully, which is where the Strategy Implementation Roadmap can be a huge help. In this course, instructor Antonio Nieto-Rodriguez walks you through the basics of strategy implementation so you can develop the highly demanded skills and tools you need to become an effective implementation specialist.<br><br>Explore ways to enhance your leadership abilities in an increasingly complex business world. Get an introduction to strategy implementation fundamentals, as developed by world experts from the Strategy Implementation Institute. Learn to avoid common pitfalls and adopt a proven and simple to use roadmap to guide your organization through its strategy implementation journey, including leadership execution, value creation, stakeholder management, business culture, employee engagement, performance tracking, and more.",Course,2025-06-29 12:58 UTC,N/A,false,N/A,
Nano Tips to Sharpen Your Critical Thinking with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to become a better critical thinker, using practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn how to scrutinize information like an investigator, posing Socratic questions and pushing the boundaries of your perspective. Challenge your assumptions to make better, smarter, more disruptive decisions with tools and techniques to enhance your focus and sense of clarity. Along the way, Shadé gives you pointers on how to avoid overthinking things to improve your chances of success in both your personal and professional life. By the end of this course, you’ll be prepared to create more inclusive, equitable spaces for open dialogue, ideation, and critical voice.</p>",Course,2025-08-11 11:48 UTC,N/A,false,N/A,
InDesign Tips for Design Geeks,"<p>Anne-Marie “Her Geekness” Concepcion, co-founder of InDesign Secrets and Adobe-certified Creative Cloud Design and Layout instructor, hosts this weekly series exploring new ways to use InDesign and related software for creative work. Anne-Marie presents answers, how-tos, and cool discoveries for amateurs, pros, and everyone in between. She pulls in tips related to other software that designers use frequently, such as Acrobat, Photoshop, Google Docs, InCopy, and more, with a focus on how techniques in these programs can make your work in InDesign faster, easier, and more fun.</p>

<p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2025-03-02 17:51 UTC,N/A,false,N/A,
Agentic AI for Developers: Concepts and Application for Enterprises,"Agentic AI is at the forefront of the next wave of technological advancements in the generative AI world, transforming the way business processes are executed in the future. As agentic AI becomes more capable of performing tasks traditionally requiring human intelligence and oversight, it is crucial for data scientists and engineers to understand how these systems work and best practices to build them.
 
In this course, Kumaran Ponnambalam discusses the concepts and building blocks for agentic AI. He explores how enterprise use cases can be built with a few examples, and reviews responsible AI considerations for agentic AI.",Course,2025-05-24 20:09 UTC,N/A,false,N/A,
Nano Tips to Enhance Your Communication with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>Here, award-winning leadership strategist and peak performance specialist Shadé Zahrai presents useful tips to help you communicate more effectively. Shadé shows you how to drive positive outcomes with your word choices. She covers how to foster trust by challenging your assumptions, responding positively, and owning a professional apology. Plus, Shadé guides you through mastering nonverbal communication through voice modulation, aligning delivery and intention, and using body language and physical gesture to reinforce your meaning. With these quick videos, you can make learning fit into even your busiest days!</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-09-07 19:39 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2807389,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2807389,Course,2020-01-05 03:15 UTC,N/A,false,N/A,
Generative AI for Continuous Improvement,"In this course, Vincent Mirabelli—a keynote speaker, trainer, and author—dives into how generative AI can transform your approach to continuous improvement. Learn how to use AI tools to optimize processes, enhance predictive maintenance, streamline quality control, and efficiently analyze customer feedback. Build more informed decision-making through AI in real-time data analysis, automated root cause identification, and process simulations. Explore relevant AI tools and techniques that empower you to make data-driven improvements. Plus, discover the impact of AI on organizational roles and culture, and strategies for managing associated risks. When you complete this course, you will be equipped to use AI-enhanced continuous improvement to drive efficiency, innovation, and competitive advantage within your organization.",Course,2025-09-16 16:13 UTC,N/A,false,N/A,
Developing Your Emotional Intelligence (2017),Emotional intelligence can help you build effective relationships at work. Executive coach and organizational psychologist Gemma Roberts explains what emotional intelligence (EQ) is and why it's important. She helps you become more self-aware so that you can identify triggers that may hijack your performance. Gemma also helps you align your intentions and your impact so that you can build strong and collaborative relationships.,Course,2022-07-10 12:08 UTC,N/A,false,N/A,
Impress Interviewers with These Five Questions,"<p>Interviews are used to see if you would be a good fit for a specific role. They are also used to determine if an organization would be a good fit for you. Asking insightful questions during your interview can help you stand out from the rest of the candidates for the role. In this course, Nneka Craigwell, a certified HR professional, shares five insightful questions that you can bring to your next interview to impress the organization of your dreams. Explore the impact of the role you are interviewing for and the ways you’ll be able to collaborate with other members of the team. Nneka offers strategies to ask about the organization’s culture and goals as well as how it defines and measures success. Upon completing this course, you’ll be prepared to walk into your next interview equipped with greater confidence, clarity, and poise.</p>
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" />",Course,2025-08-19 12:01 UTC,N/A,false,N/A,
LLM Foundations: Vector Databases for Caching and Retrieval Augmented Generation (RAG),"<p>As large language models grow in popularity, the infrastructure to be used around them also becomes vital to reduce costs, generate accurate responses, and improve efficiency. Vector databases play a vital role in several LLM use cases to help alleviate LLM shortcomings, reduce costs and latency. Knowledge of its basics and applications are vital for any engineer building applications with LLMs, and in this course, Kumaran Ponnambalam teaches you the basics of vector databases and how to use them in LLM caching and retrieval-augmented generation (RAG).
 </p>
Kumaran begins with a discussion on the basics of vector databases and their applications. He then explores specialized databases for storing vectors and uses the Milvus database as the reference example, and demonstrates read and write operations with the Milvus database. Learn how to use vector databases for LLM caching, with an example use case, along with examples of RAG use cases. Finally, Kumaran concludes with a discussion on optimizing vector databases.",Course,2024-12-31 02:00 UTC,N/A,false,N/A,
The Secret to Better Decisions: Stop Hoarding Chips,"All day, we make decisions—from what to have for lunch to whether or not to shut down a product line. These decisions shape our careers and haunt our dreams.
<br><br>
It turns out that people aren’t very good at making decisions, and the main reason is simple: we hoard our chips. We overvalue things we’ve built, experiences we’ve endured and assets we’ve acquired. As a result, we get stuck. Too many dead ends and too many regrets.
<br><br>
The promise of this course is simple: You and your coworkers will finally be able understand why we get stuck and what to do about it. With engaging stories and a new way to talk about the issue, Seth Godin helps you see how to stop being manipulated and start leading instead.",Course,2021-10-18 21:53 UTC,N/A,false,N/A,
Demystifying Advanced and Complex Security Topics,"<p>Have you ever wanted to know more about the complex world of cybersecurity, but weren’t sure where or how to begin? This course is designed to help you unravel the intricacies of some of the most important and most challenging topics in today’s cybersecurity landscape, particularly if you already have a basic understanding of the field and are looking to learn more about advanced concepts and practices.</p><p>Join industry-leading expert and CISO Jerich Beason as he covers a wide variety of topics, including advanced threat detection, complex network security architectures, cutting-edge cybersecurity technologies, and the latest trends in cyberdefense strategies. By the end of this course, you’ll be prepared to identify, think about, explain, and address complex cybersecurity challenges using industry-leading protocols and practices.</p>",Course,2024-12-18 03:52 UTC,N/A,false,N/A,
Nano Tips for Influencing Those More Senior Than You with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, highlights effective ways to influence up. Increase your powers of persuasion by learning steps to prepare and align your goals with the goals of the leader you need to influence, proactive strategies for gaining buy-in, how to navigate disagreements, and how to manage the dynamics of your conversation.",Course,2025-07-07 23:06 UTC,N/A,false,N/A,
Creating Maps with R,"If you need to learn more about creating maps with R, this beginner-friendly course introduces an end-to-end mapping workflow and shows you how to import your data directly from Excel to create both static and interactive maps. Instructor Charlie Joey Hadley explains mapping fundamentals, like geo markers, scatter plots, hexbin maps, cartograms, and more. Charlie walks you through processing GIS data from Excel and working with GIS data formats such as raster, vector, sf, and sp. She demonstrates how to create, label, and transform static maps with ggplot2, then dives into building interactive, mobile-ready maps using Leaflet, an HTML widget package for creating interactive maps with R. Plus, Charlie covers base maps and tiles, projections, the Coordinate Reference System (CRS), and more.",Course,2024-10-20 12:44 UTC,N/A,false,N/A,
Excel: Financial Functions in Depth (2022),"Analyzing financial data can seem intimidating, but Microsoft Excel has a wide range of functions to perform these calculations quickly and easily. In this course, Microsoft  MVP Danielle Stein Fairhurst shows you how and when to use each of the financial functions available in Excel. Danielle covers evaluating loans, payments, and interest; calculating depreciation; determining rates of return; calculating prices and yields as well as applying some of the new features of Excel for Microsoft 365 to financial data. Plus, she guides you through combining these functions to perform financial analysis.",Course,2025-01-14 01:48 UTC,N/A,false,N/A,
Everything as a Service (XaaS) is the Future of Business,"The world of work is moving rapidly from on premises to online. Everything as a Service (XaaS)—a category of computing that allows individuals and organizations to easily acquire a variety of computing-related services over the internet—is fueling this digital transformation. Curious about how XaaS can help you compete in a rapidly evolving global marketplace? This course can help. Tune in to learn what XaaS is in business terms, how it can help your organization, and the skills and prerequisites you need to implement it.<br><br>Instructor Jonathan Reichental begins by demystifying the origins of XaaS, as well as the most important as-a-service models, such as software as a service (SaaS), infrastructure as a service (IaaS), and platform as a service (PaaS). He then lays out why XaaS needs to be part of any digital transformation strategy, as well as what to know before implementing it. Plus, he provides a case study that shows how XaaS is being used by real-world businesses.",Course,2021-12-02 01:00 UTC,N/A,false,N/A,
C# Practice: Attributes,"Looking to get up to speed with attributes in C#? This course was made for you. Join senior LinkedIn Learning instructor Walt Rischer in this hands-on, interactive, skills-first coding course designed uniquely for intermediate C# developers. Explore .NET attributes skills in C# to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Walt helps you develop your skills as a C# programmer with six specific, query-focused coding challenges. Practice using obsolete attributes, custom attributes, custom properties, custom constructors, attribute restrictions, and reflections.",Course,2024-03-19 12:05 UTC,N/A,false,N/A,
Learning Python (2021),"<p>Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2024-04-30 01:55 UTC,N/A,false,N/A,
Avoiding Implicit Bugs in C++,"<p>C++ is an extremely powerful, portable, and cost-effective programming language. But it's also rife with implicit and counter-intuitive semantics, which can introduce bugs into your program. In this course, join instructor Shachar Shemesh to learn the fundamental skills you need to know as a developer to avoid implicit bugs in C++.</p><p>Explore real-world bug-causing behaviors such as automatically generated copy constructors and copy assignment operators, cast chains with both built-in and user-defined casts, undefined behaviors, exception semantics, and destructors. Along the way, Shachar raises your overall awareness of best practices for identifying, avoiding, strategizing, controlling, and protecting your work from implicit bugs.</p>",Course,2025-09-06 01:41 UTC,N/A,false,N/A,
Ace Your Remote Interviews: Tips for Virtual Candidates,"Think in-person and virtual interview prep are the same? Think again! In this course, career consultant Brittany Hayles shares her expertise on virtual readiness, confident presentation, and leaving a positive lasting impression. Explore strategies to communicate your strengths in a virtual environment and leave a lasting impression as a candidate. After this course, you'll not only show up – you'll ace your next virtual interview.",Course,2025-07-16 07:16 UTC,N/A,false,N/A,
"Japanese, Part 4: Describing Actions and Respecting Customs","<p>In this course, Yuki Sasaki Caldwell—an Instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—guides you through how to describe actions in Japanese and how to observe some customs related to the Japanese language and culture. Grasp the important vocabulary you’ll need to express “from” and “to,” as well as the appropriate sentence structure used to express a sequence of actions. Unlike English sentences, which have more flexibility, Japanese sentences always begin with whichever action happens first. Plus, learn about the Japanese ryokan, a traditional-style inn, and continue writing in kanji. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-07-25 21:38 UTC,N/A,false,N/A,
Evaluating and Debugging Generative AI,"Generative AI and large language models (LLMs) are changing how we build AI-powered solutions. In this course, learn the tools needed to evaluate and debug generative AI models while boosting productivity. Instructor Kesha Williams details the tools that help you train, evaluate, debug, trace, and monitor generative AI models. Learn to evaluate and debug LLMs you access via an API, fine-tune yourself, or train from scratch. By the end of this course, you’ll have a solid understanding of evaluating and debugging models",Course,2025-05-11 01:57 UTC,N/A,false,N/A,
C# 6.0 First Look,"Get a first look at the new features in C# 6.0—the most simple and efficient version of this coding language ever. Reynald Adolphe takes us through new expression-level features such as nameof expressions, extension add methods, and null-conditional operators; statement-level features such as exception filters; new initializers and members; and the ""using static"" clause, which simplifies importing static classes. Along the way, he'll cover the enhanced IDE (with IntelliSense syntax) and improved debugging features in Visual Studio 2015.",Course,2017-07-30 12:18 UTC,N/A,false,N/A,
Compliance and Regulations for Generative AI,"Generative AI, as a relatively new type of technology, brings new ethical and regulatory questions to any individual or company leveraging LLM (Large Language Models) and other kinds of Generative AI models. In this course, AI strategist and author Adrián Gonzáles Sánchez highlights what you’ll need to know about compliance and regulations regarding generative AI. Go over generative AI fundamentals, including examples of tools. Then dive into AI ethics and regulations, data privacy regulations, international AI regulations, and more. Explore the EU AI Act as an example of regulation. Review AI principles and standards and explore the case study of “ACME EdTech”. This course equips you with the understanding you need to move forward with compliance and regulations for generative AI.",Course,2025-05-29 22:54 UTC,N/A,false,N/A,
"Japanese, Part 5: Using Casual Speech in Different Contexts","<p>In this course, Yuki Sasaki Caldwell—an Instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—explores the vocabulary and syntax for making polite negative requests, and the difference between the easier ru-verbs and the more difficult u-verbs. Discover some more casual conversational vocabulary, find out how it differs from more polite communication, and explore the circumstances in which casual use is acceptable. Plus, dive into vocabulary related to a person’s age and the zoo. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-07-29 12:12 UTC,N/A,false,N/A,
Nano Tips to Accelerate Your Goals with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this installment, learn commonly overlooked, counterintuitive, and must-know tips that truly make a difference when it comes to achieving your goals, exploring key insights from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Gleaned from research and global experience, Shadé explains the importance of setting goals aligned with your purpose for greater motivation, why you should break your bigger-picture goals into sub-goals, and the importance of setting milestones. She also imparts tips for increasing your chances of success and how to reignite your passion, confidence and goal-achieving momentum.",Course,2025-11-08 01:34 UTC,N/A,false,N/A,
Communicating through Disagreement,"Think about a time when you disagreed or fought with another person. What was the outcome? How did it make you feel? More likely than not, you've found yourself in disagreements that didn't get resolved or that left you with a bad feeling. In this course, conflict resolution expert Lynne Hurdle shares her methods to ensure you're able to effectively communicate through disagreements and achieve your intended outcomes. Lynne covers how to prepare yourself to participate in this conversation, effectively listen, manage your emotions, and achieve mutual understanding and agreement. She also shares how to avoid common pitfalls when it comes to things like venting or talking over one another. Lynne also gives examples of individuals who really excel at communication through disagreement, and how they do it. Finally, Lynne empowers you with tips to manage disagreements and conflict more effectively, and gives resources to help you continue your learning over time.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2023-04-07 14:51 UTC,N/A,false,N/A,
"Installing, Running and Testing LLMs on Your Local Computer","Discover how to set up, operate, and test LLMs on your machine, using Jan App. Explore open vs. closed-source models and installation requirements. Locally test AI models including Meta's Llama, Mistral AI, and OpenAI's closed-source ChatGPT. This course is perfect for those eager to test AI models with personal data without third-party sharing, or for those who want to use ChatGPT, but need to ensure they are not training other AIs.",Course,2025-10-05 14:47 UTC,N/A,false,N/A,
Nano Tips for Handling Difficult Work Situations with Tiffany Uman,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for identifying, addressing, and overcoming difficult situations at work, with expert advice from career strategy coach, former Fortune 500 senior director, author, and global speaker Tiffany Uman.</p><p>Explore the fundamentals of successfully navigating challenging workplace dynamics. Learn how to push back at work, think on your feet with confidence, manage overlapping deadlines and conflicts, deal with other people taking credit for your work, and receive feedback with grace and poise. Along the way, Tiffany shares practical insights on overcoming common mistakes so you can stay focused on what matters most. By the end of this course, you’ll be ready to speak up in meetings, make last-minute pivots, and leverage the full power of your professional voice.</p>",Course,2025-06-26 22:38 UTC,N/A,false,N/A,
